Scenario,Files,Attributes,Policy,Setup Time (ms),Keygen Time (ms),Encrypt Time (ms),Decrypt Time (ms),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%)
Fixed_Attrs_10_Files_10,10,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),14.280463044997305,25.806777994148433,190.1282530161552,162.21086197765544,1704,480,1080,1698.0,100.0
Fixed_Attrs_10_Files_12,12,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),14.911596954334527,68.85027704993263,219.7013320401311,241.1105749779381,1704,480,1080,1698.0,100.0
Fixed_Attrs_10_Files_14,14,10,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),14.3330650171265,75.80854801926762,252.49568396247923,268.33252800861374,1704,480,1080,1698.0,100.0
Fixed_Attrs_12_Files_2,2,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),15.217812033370137,76.61089103203267,49.51674502808601,108.73280599480495,1704,480,1260,1900.0,100.0
Fixed_Attrs_12_Files_4,4,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),14.784889004658908,58.045400015544146,86.42341499216855,121.59789400175214,1704,480,1260,1900.0,100.0
Fixed_Attrs_12_Files_6,6,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),13.47641897154972,141.10483502736315,114.72862696973607,242.76976403780282,1704,480,1260,1900.0,100.0
Fixed_Attrs_12_Files_8,8,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),15.517929045017809,111.12533399136737,194.00185905396938,269.0757689997554,1704,480,1260,1900.0,100.0
Fixed_Attrs_12_Files_10,10,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),14.001147996168584,83.9937849668786,190.89959398843348,245.61541597358882,1704,480,1260,1900.0,100.0
Fixed_Attrs_12_Files_12,12,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),17.674644012004137,93.74890703475103,256.0665730270557,279.6698349993676,1704,480,1260,1900.0,100.0
Fixed_Attrs_12_Files_14,14,12,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),13.42441700398922,51.0936290374957,264.9947500322014,285.52584699355066,1704,480,1260,1900.0,100.0
Fixed_Attrs_14_Files_2,2,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),14.835291949566454,98.42665598262101,54.11119002383202,132.5142759596929,1704,480,1440,2102.0,100.0
Fixed_Attrs_14_Files_4,4,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),18.005562014877796,74.56198101863265,111.5897589479573,150.4017310217023,1704,480,1440,2102.0,100.0
Fixed_Attrs_14_Files_6,6,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),17.24582095630467,74.73569101421162,207.28456904180348,178.53303300216794,1704,480,1440,2102.0,100.0
Fixed_Attrs_14_Files_8,8,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),16.55648398445919,124.29193698335439,185.6422129785642,269.04594397637993,1704,480,1440,2102.0,100.0
Fixed_Attrs_14_Files_10,10,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),14.912519021891057,125.80573704326525,225.6175439688377,296.00432503502816,1704,480,1440,2102.0,100.0
Fixed_Attrs_14_Files_12,12,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),14.313402003608644,28.691607003565878,267.937635013368,228.4180229762569,1704,480,1440,2102.0,100.0
Fixed_Attrs_14_Files_14,14,14,(attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),14.814316993579268,90.54534597089514,306.6455239895731,338.3491149870679,1704,480,1440,2102.0,100.0
